id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1552165446345949184,1552165446345949184,2022-07-27 07:34:14 CEST,2022-07-27,07:34:14,+0200,831958791742750728,guadarojasjalil,gυα∂αααα,,el miedo de equivocarme al elegir q carrera estudiar me consume,es,[],[],[],0,0,1,[],[],https://twitter.com/Guadarojasjalil/status/1552165446345949184,False,,0,,,,,,,,[],,,,
1552155200344928261,1552069743636803584,2022-07-27 06:53:32 CEST,2022-07-27,06:53:32,+0200,1333633442953781248,jkxoknow,shali,,"@yoongimiauwu Lavsjshjsjs la mala cuea, yo ahora no se si seguir con el preu o elegir seguir la carrera no más",es,[],[],[],0,0,0,[],[],https://twitter.com/jkxoknow/status/1552155200344928261,False,,0,,,,,,,,"[{'screen_name': 'yoongimiauwu', 'name': 'Ale⁷🍊', 'id': '1231103793338683392'}]",,,,
1552145595690885122,1552145595690885122,2022-07-27 06:15:22 CEST,2022-07-27,06:15:22,+0200,1244357988,elpais_america,EL PAÍS América,,"🇺🇾 Luis Suárez acaba de elegir con el corazón: el delantero anunció que jugará en los próximos meses con la camiseta de Nacional, el equipo del que es aficionado y en el que comenzó su carrera pero sólo llegó a jugar 27 partidos  Por @Andres_Burgo  https://t.co/GrsnWnWo06",es,"[{'screen_name': 'andres_burgo', 'name': 'andres burgo', 'id': '443884579'}]",['https://elpais.com/deportes/2022-07-26/luis-suarez-regresa-a-nacional-el-club-uruguayo-en-el-que-debuto.html?utm_medium=Social&utm_source=Twitter&ssm=TW_CM_AME#Echobox=1658885101'],[],1,0,15,[],[],https://twitter.com/elpais_america/status/1552145595690885122,False,,0,,,,,,,,[],,,,
1552144610281103366,1552144610281103366,2022-07-27 06:11:27 CEST,2022-07-27,06:11:27,+0200,164125204,carla_rodher,Car Rodher,,Little miss no investigó lo culero que está el campo laboral de su profesión antes de elegir la carrera.,es,[],[],[],2,0,5,[],[],https://twitter.com/carla_rodher/status/1552144610281103366,False,,0,,,,,,,,[],,,,
1552140113752244224,1552140113752244224,2022-07-27 05:53:35 CEST,2022-07-27,05:53:35,+0200,1504331355521531904,betaniaidk,♥︎,,mi papá preocupado por q carrera voy a elegir y ni siquiera se dnd voy a estudiar este año,es,[],[],[],0,0,0,[],[],https://twitter.com/betaniaidk/status/1552140113752244224,False,,0,,,,,,,,[],,,,
1552130082876993537,1552130082876993537,2022-07-27 05:13:43 CEST,2022-07-27,05:13:43,+0200,4734635473,kaniellaa,Kaniela,,que horrible elegir otra carrera pq la tuya no cumple tus necesidades,es,[],[],[],1,0,1,[],[],https://twitter.com/kaniellaa/status/1552130082876993537,False,,0,,,,,,,,[],,,,
1552122485784682497,1552122485784682497,2022-07-27 04:43:32 CEST,2022-07-27,04:43:32,+0200,1630781444,bl0omie,anygays,,la vida se pone difícil cuando t piden elegir una carrera,es,[],[],[],0,0,0,[],[],https://twitter.com/bl0omie/status/1552122485784682497,False,,0,,,,,,,,[],,,,
1552115003120947201,1552115003120947201,2022-07-27 04:13:48 CEST,2022-07-27,04:13:48,+0200,555514415,milimuradd,MilagrosM  ♡,,"Mi madrina es la persona que me motivo a elegir la carrera indicada, y hoy me apoya en el proyecto que tengo en mente cuando me reciba 😍🙌🏼",es,[],[],[],0,0,1,[],[],https://twitter.com/MiliMuradd/status/1552115003120947201,False,,0,,,,,,,,[],,,,
1552113119849320448,1552113119849320448,2022-07-27 04:06:19 CEST,2022-07-27,04:06:19,+0200,116552486,octaviopetit,Guason Sr. ,,Dios todas las semanas me refuerza el hecho de que hace 10 años tomé una pesima decisión en elegir estudiar una carrera universitaria larga.,es,[],[],[],1,1,17,[],[],https://twitter.com/OctavioPetit/status/1552113119849320448,False,,0,,,,,,,,[],,,,
1552101965265526785,1552101965265526785,2022-07-27 03:21:59 CEST,2022-07-27,03:21:59,+0200,2575506665,chochiop,Chochi 🧉,,Hice bien en elegir esta carrera,es,[],[],[],0,0,0,[],[],https://twitter.com/Chochiop/status/1552101965265526785,False,,0,,,,,,,,[],,,,
